76638 [http-bio-8080-exec-2] ERROR ch.sky.detector.SampleController  - |127.0.0.1,1418080620444,SIGNIN_FAILURE,stefan|
768  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
768  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
768  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
768  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
768  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
771  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
772  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
772  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
772  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
772  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
701  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
701  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
701  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
701  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
701  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |203.000.113.195,1418075897397,SIGNIN_FAILURE,normalUser|
720  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
720  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
720  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
720  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
721  [main] ERROR ch.sky.detector.service.TestHackerDetectorService  - |172.31.255.255,1418075897397,SIGNIN_FAILURE,privateIpAddresseUser|
